stock_code,corp_name,revenue,operating_profit,net_income,cash_survival_years,inventory_months,cash_flow_match,cash_to_revenue,cash_to_op_profit_x3,happy_debt_growth,sga_ratio,sga_ratio_change,current_ratio,quick_ratio,debt_ratio,cash_months,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,inventory_turnover,receivable_turnover,debt_growth,revenue_minus_debt_growth,market
000020,동화약품,496394309778.0,256752681.0,8686052916.0,,4.226808045143089,1.8073475639415504,2.6804173230653117,1727.4002122948295,,38.79778728046482,0.6698039703831355,107.2915716591301,59.039766124904666,-7342.627048982884,0.8290423277045812,6.780229628178963,44.02697222350109,0.05172353428362751,1.749829267761877,1.3526135816254308,-264.9393998005456,5.0721246806018225,5.460868222838403,10.446251614921232,-3.666021986742269,KOSPI
000040,KR모터스,13820791334.0,-2891596054.0,0.0,,,,75.90176888926322,-120.92773795851915,,36.31117749860097,7.113700369598327,63.29592086903561,,337.81902626292435,25.08377005141879,-13.754649857976208,15.389104484688257,-20.922073013912705,0.0,0.0,0.0,,,-4.0017163388588735,-9.752933519117335,KOSPI
000050,경방,412475877463.0,,47379145951.0,,2.6725186761011557,,15.844639183502924,,-27.451520286416525,21.560207103984467,-1.4727633778222007,70.47802597977427,47.26267802523802,-2314983.6570149176,8.818823923398062,3.82582691316868,32.710787230485494,,11.486525282984582,3.7732937162442406,-247133.01728981684,6.672906656393444,9.100981433302234,-2.3978551498013654,6.223682062970045,KOSPI
000070,삼양홀딩스,3348286833611.0,108765726889.0,-199950170956.0,1.441012454214928,2.169140320619304,,8.60531671533236,88.30314928894512,,14.100605517772417,-0.2952743068640622,122.45645032956394,87.65423548356954,1124.877705597506,7.323359302111851,-5.768703296046156,17.349004842381664,3.248399324609245,-5.971715712908662,-3.792641390408729,-85.86284049370867,6.693380463647247,,14.26884429945201,-20.037547595498165,KOSPI
000080,하이트진로,2498566821284.0,172338670998.0,0.0,,0.06278716312142077,,9.75115335629868,47.12408829314682,,37.50828050931989,-0.08412313506939739,62.77603688656954,62.29374741897576,186.52452248549233,3.119680206254965,-3.871084527102739,44.40578148987946,6.89750098055957,0.0,0.0,0.0,343.78011721320166,,-7.053706759888027,3.182622232785288,KOSPI
000100,유한양행,2186637586358.0,104374493823.0,0.0,,-0.27597605906149897,,16.84023947668994,117.60057224148363,60.128046431036466,18.559516166597025,-1.2562092040449926,206.06954398665138,210.63657957319938,1222.1129919914295,10.888369713213926,5.747491334169194,33.38083549166143,4.773287282454662,0.0,0.0,0.0,-65.26955558813067,-24.76403701740036,8.499427827959781,-2.7519364937905877,KOSPI
000120,CJ대한통운,12284652471280.0,508080820628.0,0.0,,0.036110287848966735,,2.5002449707883097,20.15075772212511,-22.382358886386907,6.866568409550684,-0.19801288413631912,88.51058355721209,87.45806836903779,217.69097911089324,4.369422666455741,1.3856122282261163,11.002467425138063,4.135899015587378,0.0,0.0,0.0,373.39829411692705,7.885279955537829,6.910015360871332,-5.524403132645216,KOSPI
000140,하이트진로홀딩스,,,0.0,,0.06190562357882541,,,,,,,50.31917476895678,49.94935767921736,698.8842571294754,3.289137243527746,,,,,0.0,0.0,,,-5.303686477801228,,KOSPI
000150,두산,19784138000000.0,1062715000000.0,0.0,,2.2067271596998115,,25.796286904185568,160.079701519222,,11.880740015056507,,103.1909620259975,81.30334198268046,1070.8471004776864,26.055232456726266,,17.252290698740577,5.37155068368407,0.0,0.0,0.0,6.5716832978299715,8.679366249240495,13.366615569843528,,KOSPI
000180,성창기업지주,127218274093.0,-6928127999.0,0.0,,1.3868301715008344,,5.596480733416705,-34.25526683892897,,17.359953819099324,-2.612397113692282,85.18521436239827,63.813851866939274,27.134313889265442,3.868545360248243,-11.101814181304256,11.91409468573665,-5.445859133362673,0.0,0.0,0.0,9.823167338473382,5.836973002427259,29.87937306672532,-40.98118724802958,KOSPI
